jkv_azonosito,egyeni,valasztopolgar,megjelent,urnaban_levo,elteres,ervenytelen,ervenyes,szervezet,szavazat
83092,levél,193793,128712,128596,-116,167,128429,FIDESZ-KDNP,122638
83092,levél,193793,128712,128596,-116,167,128429,JOBBIK,2926
83092,levél,193793,128712,128596,-116,167,128429,MSZP-EGYÜTT-DK-PM-MLP,1495
83092,levél,193793,128712,128596,-116,167,128429,LMP,574
83092,levél,193793,128712,128596,-116,167,128429,ZÖLDEK PÁRTJA,229
83092,levél,193793,128712,128596,-116,167,128429,SEM,125
83092,levél,193793,128712,128596,-116,167,128429,KTI,80
83092,levél,193793,128712,128596,-116,167,128429,MUNKÁSPÁRT,63
83092,levél,193793,128712,128596,-116,167,128429,SZOCIÁLDEMOKRATÁK,61
83092,levél,193793,128712,128596,-116,167,128429,FÜGGETLEN KISGAZDAPÁRT,43
83092,levél,193793,128712,128596,-116,167,128429,JESZ,40
83092,levél,193793,128712,128596,-116,167,128429,EGYÜTT 2014,33
83092,levél,193793,128712,128596,-116,167,128429,A HAZA NEM ELADÓ MOZGALOM PÁRT,29
83092,levél,193793,128712,128596,-116,167,128429,SERES MÁRIA SZÖVETSÉGESEI,27
83092,levél,193793,128712,128596,-116,167,128429,ÖSSZEFOGÁS,25
83092,levél,193793,128712,128596,-116,167,128429,ÚDP,18
83092,levél,193793,128712,128596,-116,167,128429,MCP,17
83092,levél,193793,128712,128596,-116,167,128429,ÚMP,6
