"","megye","oevk","szervezet","szavazat"
"1","BÁCS-KISKUN",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",171
"2","BARANYA",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",433
"3","BÉKÉS",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",645
"4","BORSOD-ABAÚJ-ZEMPLÉN",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",201
"5","BUDAPEST",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",88
"6","CSONGRÁD",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",344
"7","FEJÉR",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",177
"8","GYŐR-MOSON-SOPRON",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",85
"9","HAJDÚ-BIHAR",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",302
"10","HEVES",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",256
"11","JÁSZ-NAGYKUN-SZOLNOK",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",258
"12","KOMÁROM-ESZTERGOM",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",506
"13","NÓGRÁD",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",294
"14","PEST",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",232
"15","SOMOGY",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",213
"16","SZABOLCS-SZATMÁR-BEREG",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",309
"17","TOLNA",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",198
"18","VAS",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",71
"19","VESZPRÉM",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",222
"20","ZALA",1,"A HAZA NEM ELADÓ MOZGALOM PÁRT",112
"21","BÁCS-KISKUN",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",263
"22","BARANYA",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",405
"23","BÉKÉS",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",416
"24","BORSOD-ABAÚJ-ZEMPLÉN",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",205
"25","BUDAPEST",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",95
"26","CSONGRÁD",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",317
"27","FEJÉR",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",137
"28","GYŐR-MOSON-SOPRON",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",93
"29","HAJDÚ-BIHAR",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",286
"30","HEVES",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",181
"31","JÁSZ-NAGYKUN-SZOLNOK",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",180
"32","KOMÁROM-ESZTERGOM",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",174
"33","NÓGRÁD",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",227
"34","PEST",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",226
"35","SOMOGY",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",121
"36","SZABOLCS-SZATMÁR-BEREG",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",156
"37","TOLNA",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",167
"38","VAS",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",82
"39","VESZPRÉM",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",238
"40","ZALA",2,"A HAZA NEM ELADÓ MOZGALOM PÁRT",266
"41","BÁCS-KISKUN",3,"A HAZA NEM ELADÓ MOZGALOM PÁRT",100
"42","BARANYA",3,"A HAZA NEM ELADÓ MOZGALOM PÁRT",223
"43","BÉKÉS",3,"A HAZA NEM ELADÓ MOZGALOM PÁRT",1312
"44","BORSOD-ABAÚJ-ZEMPLÉN",3,"A HAZA NEM ELADÓ MOZGALOM PÁRT",109
"45","BUDAPEST",3,"A HAZA NEM ELADÓ MOZGALOM PÁRT",76
